order_id,order_timestamp,customer_id,product_id,quantity,unit_price,currency,payment_method,channel
ORD-20260602-0001,2026-06-02T00:09:18Z,CUST-0002,PROD-1003,1,89.00,AUD,card,web
ORD-20260602-0002,2026-06-02T01:48:37Z,CUST-0009,PROD-1001,1,139.00,AUD,card,mobile
ORD-20260602-0003,2026-06-02T03:21:05Z,CUST-0004,PROD-1008,1,79.00,AUD,paypal,web
ORD-20260602-0004,2026-06-02T06:14:53Z,CUST-0007,PROD-1005,2,12.00,AUD,card,store
ORD-20260602-0005,2026-06-02T08:33:44Z,CUST-0010,PROD-1006,1,18.00,AUD,card,web
ORD-20260602-0006,2026-06-02T11:17:29Z,CUST-0001,PROD-1007,1,32.00,AUD,paypal,mobile
ORD-20260602-0007,2026-06-02T13:02:11Z,CUST-0003,PROD-1010,2,45.00,AUD,card,web
ORD-20260602-0008,2026-06-02T15:45:06Z,CUST-0005,PROD-1002,1,49.00,AUD,bank_transfer,web
ORD-20260602-0009,2026-06-02T18:20:31Z,,PROD-1004,1,7.50,AUD,card,mobile
ORD-20260602-0010,2026-06-02T19:05:10Z,CUST-9999,PROD-1005,2,12.00,AUD,card,web
ORD-20260602-0011,2026-06-02T20:11:47Z,CUST-0006,PROD-9999,1,25.00,AUD,paypal,web
ORD-20260602-0012,2026-06-02T21:42:00Z,CUST-0008,PROD-1006,-1,18.00,AUD,card,store
